system:index,Block,BlockID,FragSize,Hunted,PointID,Site,SiteID,SizeClass,Year,blue,date,evi,green,image,mask,ndvi,nir,path,red,row,satellite,sr,swir1,swir2,tcg,.geo
00000000000000000063_2_LC08_012031_20171020,Beaver_Brook,BB,28.6323,false,BB_BBS_5,Beaver_Brook_small,BBS,small,2017,0.022199999541044235,2017-10-20,0.38811412999919853,0.039500001817941666,2_LC08_012031_20171020,1.0,0.7545773386955261,0.22519999742507935,12.0,0.03150000050663948,31.0,LANDSAT_8,7.149206161499023,0.1589999943971634,0.0737999975681305,0.13786971035164836,"{""type"":""Point"",""coordinates"":[-72.12342231098766,41.76687009596621]}"
00000000000000000063_2_LC08_013031_20171027,Beaver_Brook,BB,28.6323,false,BB_BBS_5,Beaver_Brook_small,BBS,small,2017,0.016599999740719795,2017-10-27,0.31324964017271717,0.032999999821186066,2_LC08_013031_20171027,1.0,0.7151985168457031,0.18790000677108765,13.0,0.031199999153614044,31.0,LANDSAT_8,6.022435665130615,0.13570000231266022,0.06650000065565109,0.11219179990519286,"{""type"":""Point"",""coordinates"":[-72.12342231098766,41.76687009596621]}"
00000000000000000063_1_2_LE07_012031_20171028,Beaver_Brook,BB,28.6323,false,BB_BBS_5,Beaver_Brook_small,BBS,small,2017,0.02630000002682209,2017-10-28,0.07417685041891242,0.025800000876188278,1_2_LE07_012031_20171028,1.0,0.47766321897506714,0.0430000014603138,12.0,0.015200000256299973,31.0,LANDSAT_7,2.8289473056793213,0.02630000002682209,0.013500000350177288,0.013196049949364363,"{""type"":""Point"",""coordinates"":[-72.12342231098766,41.76687009596621]}"
00000000000000000063_1_2_LE07_013031_20171104,Beaver_Brook,BB,28.6323,false,BB_BBS_5,Beaver_Brook_small,BBS,small,2017,0.04050000011920929,2017-11-04,0.26012402713613847,0.052299998700618744,1_2_LE07_013031_20171104,1.0,0.5351027250289917,0.179299995303154,13.0,0.05429999902844429,31.0,LANDSAT_7,3.30202579498291,0.1615999937057495,0.07819999754428864,0.08299702035509586,"{""type"":""Point"",""coordinates"":[-72.12342231098766,41.76687009596621]}"
00000000000000000063_2_LC08_013031_20171112,Beaver_Brook,BB,28.6323,false,BB_BBS_5,Beaver_Brook_small,BBS,small,2017,99.0,2017-11-12,99.0,99.0,2_LC08_013031_20171112,0.0,99.0,99.0,13.0,99.0,31.0,LANDSAT_8,99.0,99.0,99.0,99.0,"{""type"":""Point"",""coordinates"":[-72.12342231098766,41.76687009596621]}"
00000000000000000063_2_LC08_012031_20171121,Beaver_Brook,BB,28.6323,false,BB_BBS_5,Beaver_Brook_small,BBS,small,2017,0.025200000032782555,2017-11-21,0.23812438785504406,0.038600001484155655,2_LC08_012031_20171121,1.0,0.5785820484161377,0.15919999778270721,12.0,0.042500000447034836,31.0,LANDSAT_8,3.745882272720337,0.1712999939918518,0.09470000118017197,0.07678651982934714,"{""type"":""Point"",""coordinates"":[-72.12342231098766,41.76687009596621]}"
00000000000000000063_2_LC08_013031_20171128,Beaver_Brook,BB,28.6323,false,BB_BBS_5,Beaver_Brook_small,BBS,small,2017,0.024000000208616257,2017-11-28,0.21913731245923027,0.036400001496076584,2_LC08_013031_20171128,1.0,0.5572835803031921,0.1501999944448471,13.0,0.04270000010728836,31.0,LANDSAT_8,3.517564296722412,0.16369999945163727,0.0934000015258789,0.07054387977935792,"{""type"":""Point"",""coordinates"":[-72.12342231098766,41.76687009596621]}"
00000000000000000063_1_2_LE07_012031_20171129,Beaver_Brook,BB,28.6323,false,BB_BBS_5,Beaver_Brook_small,BBS,small,2017,0.04919999837875366,2017-11-29,0.20185928770949718,0.05480000004172325,1_2_LE07_012031_20171129,1.0,0.434068500995636,0.15279999375343323,12.0,0.06030000001192093,31.0,LANDSAT_7,2.53399658203125,0.1657000035047531,0.09380000084638596,0.05463967987761259,"{""type"":""Point"",""coordinates"":[-72.12342231098766,41.76687009596621]}"
00000000000000000063_2_LC08_012031_20171207,Beaver_Brook,BB,28.6323,false,BB_BBS_5,Beaver_Brook_small,BBS,small,2017,0.025100000202655792,2017-12-07,0.2124722907691664,0.03519999980926514,2_LC08_012031_20171207,1.0,0.5576289892196655,0.14190000295639038,12.0,0.040300000458955765,31.0,LANDSAT_8,3.5210916996002197,0.14480000734329224,0.08709999918937683,0.06621455011721612,"{""type"":""Point"",""coordinates"":[-72.12342231098766,41.76687009596621]}"
00000000000000000063_2_LC08_013031_20171214,Beaver_Brook,BB,28.6323,false,BB_BBS_5,Beaver_Brook_small,BBS,small,2017,99.0,2017-12-14,99.0,99.0,2_LC08_013031_20171214,0.0,99.0,99.0,13.0,99.0,31.0,LANDSAT_8,99.0,99.0,99.0,99.0,"{""type"":""Point"",""coordinates"":[-72.12342231098766,41.76687009596621]}"
00000000000000000083_2_LC08_012031_20170105,Beaver_Brook,BB,28.6323,false,BB_BBS_5,Beaver_Brook_small,BBS,small,2018,0.0284000001847744,2017-01-05,0.2314711773870465,0.05719999969005585,2_LC08_012031_20170105,1.0,0.500400960445404,0.18709999322891235,12.0,0.062300000339746475,31.0,LANDSAT_8,3.0032103061676025,0.17020000517368317,0.11410000175237656,0.08060847974660634,"{""type"":""Point"",""coordinates"":[-72.12342231098766,41.76687009596621]}"
00000000000000000083_1_2_LE07_012031_20170113,Beaver_Brook,BB,28.6323,false,BB_BBS_5,Beaver_Brook_small,BBS,small,2018,0.03189999982714653,2017-01-13,0.23079312946606897,0.042500000447034836,1_2_LE07_012031_20170113,1.0,0.5816555023193359,0.14139999449253082,12.0,0.03739999979734421,31.0,LANDSAT_7,3.7807486057281494,0.16030000150203705,0.09099999815225601,0.06353346026718378,"{""type"":""Point"",""coordinates"":[-72.12342231098766,41.76687009596621]}"
